Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_VIRAL_INFECTION_PATHWAYS	22/888	1.408801e-11	1.049557e-09	7.604612e+00	1.900065e+02	RPS29;UBB;RPL37A;RPS2;RPL31;RPL3;RPS27;RPS3;RPL21;RPL28;RPL15;RPL13A;RPL39;RPL23;RPS5;RPL18A;RPS15A;RPL10A;RPL27A;HSP90AA1;RPL23A;RPL32
c2.all.v2024.1.Hs.symbols.gmt	REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION	1/16	6.568265e-02	2.009003e-01	2.285682e+01	6.223731e+01	UBB
c2.all.v2024.1.Hs.symbols.gmt	REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	1/407	8.251190e-01	8.482988e-01	8.561083e-01	1.645677e-01	NUCB2
c2.all.v2024.1.Hs.symbols.gmt	REN_ALVEOLAR_RHABDOMYOSARCOMA_UP	2/99	6.610963e-02	2.016150e-01	6.098822e+00	1.656709e+01	SYNE2;RPL31
c2.all.v2024.1.Hs.symbols.gmt	REN_MIF_TARGETS_DN	1/5	2.100202e-02	1.155942e-01	7.876827e+01	3.042926e+02	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN	5/368	2.016987e-02	1.134080e-01	3.674556e+00	1.434387e+01	CFAP298;NUCB2;RPL31;RPL3;RPL23
c2.all.v2024.1.Hs.symbols.gmt	RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP	3/76	4.137805e-03	3.848016e-02	1.146266e+01	6.290237e+01	LYZ;CXCL8;LTF
c2.all.v2024.1.Hs.symbols.gmt	RICKMAN_HEAD_AND_NECK_CANCER_A	1/105	3.602958e-01	4.614602e-01	3.376583e+00	3.446917e+00	TCIM
c2.all.v2024.1.Hs.symbols.gmt	RICKMAN_HEAD_AND_NECK_CANCER_C	1/116	3.896207e-01	4.837791e-01	3.053476e+00	2.878150e+00	SERPINB4
c2.all.v2024.1.Hs.symbols.gmt	RICKMAN_HEAD_AND_NECK_CANCER_D	7/40	3.242424e-10	1.989322e-08	5.645757e+01	1.233571e+03	TCN1;LTF;BPIFA1;BPIFB1;MSMB;SCGB3A1;AGR2
c2.all.v2024.1.Hs.symbols.gmt	RICKMAN_HEAD_AND_NECK_CANCER_E	1/87	3.092745e-01	4.183830e-01	4.082563e+00	4.790994e+00	CP
c2.all.v2024.1.Hs.symbols.gmt	RICKMAN_METASTASIS_DN	2/263	3.064201e-01	4.155997e-01	2.256989e+00	2.669563e+00	ANXA2P3;MUC1
c2.all.v2024.1.Hs.symbols.gmt	RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_UP	1/125	4.126214e-01	5.015899e-01	2.831583e+00	2.506587e+00	RPS15A
c2.all.v2024.1.Hs.symbols.gmt	RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	1/384	8.068420e-01	8.319686e-01	9.084146e-01	1.949706e-01	MMP10
c2.all.v2024.1.Hs.symbols.gmt	RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP	2/242	2.735147e-01	3.926715e-01	2.456425e+00	3.184510e+00	RPS27;RPL23
c2.all.v2024.1.Hs.symbols.gmt	RIGGINS_TAMOXIFEN_RESISTANCE_DN	1/221	6.104575e-01	6.632366e-01	1.591800e+00	7.856278e-01	MUC1
c2.all.v2024.1.Hs.symbols.gmt	RIGGI_EWING_SARCOMA_PROGENITOR_UP	1/437	8.464091e-01	8.665013e-01	7.961666e-01	1.327627e-01	LINGO1
c2.all.v2024.1.Hs.symbols.gmt	RIZKI_TUMOR_INVASIVENESS_3D_UP	1/209	5.898970e-01	6.486690e-01	1.684338e+00	8.890060e-01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	RODRIGUES_DCC_TARGETS_DN	1/119	3.973850e-01	4.916637e-01	2.975767e+00	2.746186e+00	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	RODRIGUES_NTN1_AND_DCC_TARGETS	1/35	1.381557e-01	2.876176e-01	1.026017e+01	2.030872e+01	NEAT1
c2.all.v2024.1.Hs.symbols.gmt	RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_DN	2/542	6.725017e-01	7.157340e-01	1.078006e+00	4.276995e-01	UBB;SYNE2
c2.all.v2024.1.Hs.symbols.gmt	RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP	4/721	3.650521e-01	4.632128e-01	1.481768e+00	1.493200e+00	GAS5;HSP90AA1;CXCL8;ANXA2P2
c2.all.v2024.1.Hs.symbols.gmt	RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN	6/807	1.275694e-01	2.777764e-01	1.951620e+00	4.018570e+00	UBB;SYNE2;AKAP9;NEAT1;RPL15;GOLGB1
c2.all.v2024.1.Hs.symbols.gmt	RODWELL_AGING_KIDNEY_NO_BLOOD_DN	1/148	4.675778e-01	5.467305e-01	2.387546e+00	1.814988e+00	MT-ND4
c2.all.v2024.1.Hs.symbols.gmt	RODWELL_AGING_KIDNEY_NO_BLOOD_UP	4/224	1.520391e-02	9.552820e-02	4.933702e+00	2.065347e+01	ANXA2P3;ERICH3;LTF;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	RODWELL_AGING_KIDNEY_UP	8/501	1.300917e-03	1.624977e-02	4.302095e+00	2.858607e+01	ANXA2P3;ERICH3;LTF;RPL28;RPS2;LYZ;RPL13A;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	ROESSLER_LIVER_CANCER_METASTASIS_DN	1/51	1.948505e-01	3.350851e-01	7.004342e+00	1.145576e+01	RPS3
c2.all.v2024.1.Hs.symbols.gmt	ROESSLER_LIVER_CANCER_METASTASIS_UP	1/106	3.630183e-01	4.614602e-01	3.344426e+00	3.388913e+00	LTF
c2.all.v2024.1.Hs.symbols.gmt	ROSS_AML_WITH_AML1_ETO_FUSION	1/79	2.853253e-01	4.005306e-01	4.500255e+00	5.643885e+00	TCN1
c2.all.v2024.1.Hs.symbols.gmt	ROVERSI_GLIOMA_COPY_NUMBER_DN	2/54	2.202297e-02	1.190153e-01	1.134955e+01	4.330613e+01	SFTPA2;SFTPA1
c2.all.v2024.1.Hs.symbols.gmt	ROY_WOUND_BLOOD_VESSEL_DN	1/23	9.305905e-02	2.367331e-01	1.574082e+01	3.737691e+01	S100P
c2.all.v2024.1.Hs.symbols.gmt	RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP	1/17	6.964305e-02	2.057725e-01	2.147059e+01	5.720564e+01	CP
c2.all.v2024.1.Hs.symbols.gmt	RUAN_RESPONSE_TO_TNF_UP	1/13	5.370110e-02	1.861898e-01	2.834631e+01	8.289373e+01	CP
c2.all.v2024.1.Hs.symbols.gmt	RUIZ_TNC_TARGETS_DN	1/143	4.560809e-01	5.372020e-01	2.471883e+00	1.940638e+00	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	RUIZ_TNC_TARGETS_UP	1/156	4.854746e-01	5.613637e-01	2.263889e+00	1.635950e+00	GOLGB1
c2.all.v2024.1.Hs.symbols.gmt	RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	1/320	7.454354e-01	7.771006e-01	1.093595e+00	3.212839e-01	RPL28
c2.all.v2024.1.Hs.symbols.gmt	RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_UP	1/341	7.674591e-01	7.956857e-01	1.025160e+00	2.713291e-01	ANXA2P2
c2.all.v2024.1.Hs.symbols.gmt	RUTELLA_RESPONSE_TO_HGF_DN	1/240	6.409448e-01	6.898920e-01	1.464247e+00	6.513147e-01	RPL28
c2.all.v2024.1.Hs.symbols.gmt	RUTELLA_RESPONSE_TO_HGF_UP	1/421	8.353950e-01	8.571736e-01	8.270712e-01	1.487492e-01	ANXA2P2
c2.all.v2024.1.Hs.symbols.gmt	RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_DN	2/250	2.860680e-01	4.008908e-01	2.376475e+00	2.974220e+00	RPL28;ANXA2P2
c2.all.v2024.1.Hs.symbols.gmt	RYAN_MANTLE_CELL_LYMPHOMA_NOTCH_DIRECT_UP	1/148	4.675778e-01	5.467305e-01	2.387546e+00	1.814988e+00	SFTPB
c2.all.v2024.1.Hs.symbols.gmt	SABATES_COLORECTAL_ADENOMA_DN	1/299	7.213502e-01	7.557692e-01	1.171660e+00	3.827001e-01	CP
c2.all.v2024.1.Hs.symbols.gmt	SABATES_COLORECTAL_ADENOMA_SIZE_UP	1/24	9.690462e-02	2.420875e-01	1.507032e+01	3.517454e+01	NEAT1
c2.all.v2024.1.Hs.symbols.gmt	SABATES_COLORECTAL_ADENOMA_UP	5/140	3.254488e-04	5.564640e-03	9.960976e+00	7.998968e+01	TCN1;LCN2;MMP10;CXCL8;S100P
c2.all.v2024.1.Hs.symbols.gmt	SAGIV_CD24_TARGETS_DN	3/45	9.180319e-04	1.285245e-02	1.985156e+01	1.388275e+02	ATF3;PPP1R15A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP	1/82	2.944010e-01	4.075119e-01	4.334011e+00	5.299683e+00	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	SAKAI_TUMOR_INFILTRATING_MONOCYTES_DN	1/81	2.913885e-01	4.054946e-01	4.388049e+00	5.410894e+00	DNAJA1
c2.all.v2024.1.Hs.symbols.gmt	SALVADOR_MARTIN_PEDIATRIC_TBD_ANTI_TNF_THERAPY_NONRESPONDER_PRE_TREATMENT_UP	5/29	1.341747e-07	5.488008e-06	5.536872e+01	8.761614e+02	MT-CO3;MT-ND1;MT-ATP6;MT-CYB;MT-ND2
c2.all.v2024.1.Hs.symbols.gmt	SANA_RESPONSE_TO_IFNG_DN	3/87	6.033736e-03	4.974851e-02	9.965499e+00	5.092758e+01	MMP10;GADD45A;RPL10A
c2.all.v2024.1.Hs.symbols.gmt	SANA_TNF_SIGNALING_DN	1/85	3.033627e-01	4.138748e-01	4.179572e+00	4.985502e+00	TMSB4X
c2.all.v2024.1.Hs.symbols.gmt	SANA_TNF_SIGNALING_UP	3/83	5.294207e-03	4.563519e-02	1.046258e+01	5.483587e+01	MMP10;DNAJA1;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SANSOM_APC_TARGETS_DN	2/366	4.607434e-01	5.411659e-01	1.611575e+00	1.248832e+00	AGR2;NAPSA
c2.all.v2024.1.Hs.symbols.gmt	SANSOM_APC_TARGETS_REQUIRE_MYC	1/225	6.170817e-01	6.686921e-01	1.563153e+00	7.546181e-01	RPL31
c2.all.v2024.1.Hs.symbols.gmt	SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_DN	2/145	1.258934e-01	2.774918e-01	4.135135e+00	8.569324e+00	ATF3;NEAT1
c2.all.v2024.1.Hs.symbols.gmt	SARTIPY_BLUNTED_BY_INSULIN_RESISTANCE_DN	1/18	7.358684e-02	2.123128e-01	2.024278e+01	5.281927e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	SATO_SILENCED_BY_DEACETYLATION_IN_PANCREATIC_CANCER	2/47	1.695694e-02	1.019371e-01	1.309979e+01	5.340888e+01	ATF3;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_1	1/422	8.361057e-01	8.574811e-01	8.250709e-01	1.476879e-01	SFTPA2
c2.all.v2024.1.Hs.symbols.gmt	SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER	1/47	1.810327e-01	3.241495e-01	7.608246e+00	1.300308e+01	S100P
c2.all.v2024.1.Hs.symbols.gmt	SAUL_SEN_MAYO	3/124	1.578477e-02	9.799712e-02	6.919090e+00	2.870529e+01	MMP10;SERPINB4;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP	2/111	8.057038e-02	2.220291e-01	5.427496e+00	1.366982e+01	NEAT1;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN	2/411	5.219356e-01	5.917161e-01	1.431508e+00	9.307827e-01	MMP10;LYZ
c2.all.v2024.1.Hs.symbols.gmt	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	4/450	1.239983e-01	2.751707e-01	2.411296e+00	5.033550e+00	AGR2;TCIM;NAPSA;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_UP	1/160	4.941985e-01	5.673628e-01	2.206712e+00	1.555330e+00	CFTR
c2.all.v2024.1.Hs.symbols.gmt	SCHEIDEREIT_IKK_INTERACTING_PROTEINS	2/53	2.126512e-02	1.161232e-01	1.157045e+01	4.455420e+01	UBB;HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_UP	2/40	1.247157e-02	8.365174e-02	1.548649e+01	6.789746e+01	SCGB1A1;BPIFA1
c2.all.v2024.1.Hs.symbols.gmt	SCHLOSSER_SERUM_RESPONSE_DN	1/705	9.522203e-01	9.581918e-01	4.871927e-01	2.385240e-02	LYZ
c2.all.v2024.1.Hs.symbols.gmt	SCHLOSSER_SERUM_RESPONSE_UP	1/126	4.151235e-01	5.028732e-01	2.808893e+00	2.469520e+00	SFTPC
c2.all.v2024.1.Hs.symbols.gmt	SCHOEN_NFKB_SIGNALING	1/34	1.344840e-01	2.842285e-01	1.056692e+01	2.120053e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SCHRAETS_MLL_TARGETS_UP	1/33	1.307967e-01	2.795512e-01	1.089255e+01	2.215666e+01	MMP10
c2.all.v2024.1.Hs.symbols.gmt	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	1/85	3.033627e-01	4.138748e-01	4.179572e+00	4.985502e+00	MMP10
c2.all.v2024.1.Hs.symbols.gmt	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	1/352	7.782318e-01	8.064538e-01	9.925757e-01	2.488694e-01	FTL
c2.all.v2024.1.Hs.symbols.gmt	SCIAN_INVERSED_TARGETS_OF_TP53_AND_TP73_DN	1/30	1.196416e-01	2.710169e-01	1.200190e+01	2.548310e+01	ATF3
c2.all.v2024.1.Hs.symbols.gmt	SCIAN_INVERSED_TARGETS_OF_TP53_AND_TP73_UP	1/11	4.562907e-02	1.752896e-01	3.374866e+01	1.041892e+02	FTL
c2.all.v2024.1.Hs.symbols.gmt	SCIBETTA_KDM5B_TARGETS_UP	1/19	7.751409e-02	2.176237e-01	1.914771e+01	4.896635e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	SEIDEN_ONCOGENESIS_BY_MET	1/89	3.151367e-01	4.222062e-01	3.989939e+00	4.607378e+00	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	SEKI_INFLAMMATORY_RESPONSE_LPS_DN	1/23	9.305905e-02	2.367331e-01	1.574082e+01	3.737691e+01	LYZ
c2.all.v2024.1.Hs.symbols.gmt	SEKI_INFLAMMATORY_RESPONSE_LPS_UP	1/76	2.761341e-01	3.945313e-01	4.679711e+00	6.022174e+00	TCIM
c2.all.v2024.1.Hs.symbols.gmt	SEMENZA_HIF1_TARGETS	1/36	1.418120e-01	2.920236e-01	9.970701e+00	1.947530e+01	CP
c2.all.v2024.1.Hs.symbols.gmt	SENESE_HDAC1_AND_HDAC2_TARGETS_UP	3/243	8.435788e-02	2.270101e-01	3.476580e+00	8.596494e+00	TCN1;RPL27A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SENESE_HDAC1_TARGETS_UP	4/451	1.247249e-01	2.761954e-01	2.405796e+00	5.008014e+00	TCN1;NEAT1;RPL27A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SENESE_HDAC2_TARGETS_UP	3/116	1.321572e-02	8.696526e-02	7.409475e+00	3.205597e+01	TCN1;RPL27A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SENESE_HDAC3_TARGETS_UP	6/495	1.872488e-02	1.086270e-01	3.242367e+00	1.289782e+01	TCN1;SERPINB4;NEAT1;ATF3;MT-ND4;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SENGUPTA_EBNA1_ANTICORRELATED	1/161	4.963565e-01	5.692137e-01	2.192863e+00	1.536015e+00	NAPSA
c2.all.v2024.1.Hs.symbols.gmt	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	17/358	1.584909e-13	1.377550e-11	1.438648e+01	4.240139e+02	SERPINB4;ERICH3;LCN2;LTF;S100P;MUC1;DNAAF1;SERPINB3;SNTN;HOATZ;MSMB;BPIFB1;DNAH12;RSPH1;AGR2;SCGB1A1;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	6/175	1.012134e-04	2.111312e-03	9.502308e+00	8.740488e+01	SERPINB4;SNTN;LCN2;SERPINB3;SCGB3A1;S100P
c2.all.v2024.1.Hs.symbols.gmt	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_UP	7/404	1.655393e-03	1.929134e-02	4.679569e+00	2.996663e+01	ANKRD36B;CFTR;NEAT1;MMP10;HSP90AA1;CP;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SERVITJA_ISLET_HNF1A_TARGETS_UP	2/167	1.577596e-01	3.051033e-01	3.581857e+00	6.614553e+00	ATF3;LYZ
c2.all.v2024.1.Hs.symbols.gmt	SESTO_RESPONSE_TO_UV_C0	4/109	1.195843e-03	1.549396e-02	1.036587e+01	6.975096e+01	DNAJA1;RPS27;SERPINB4;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	SESTO_RESPONSE_TO_UV_C1	2/74	3.937255e-02	1.669332e-01	8.211184e+00	2.656060e+01	HSP90AA1;LCN2
c2.all.v2024.1.Hs.symbols.gmt	SESTO_RESPONSE_TO_UV_C3	2/22	3.880433e-03	3.658769e-02	2.910811e+01	1.616026e+02	ATF3;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SESTO_RESPONSE_TO_UV_C6	1/39	1.526892e-01	3.016190e-01	9.192513e+00	1.727596e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	SESTO_RESPONSE_TO_UV_C7	3/70	3.281320e-03	3.259445e-02	1.248496e+01	7.140786e+01	TCN1;RPL3;MMP10
c2.all.v2024.1.Hs.symbols.gmt	SHAFFER_IRF4_TARGETS_IN_MYELOMA_VS_MATURE_B_LYMPHOCYTE	2/101	6.845368e-02	2.057725e-01	5.975689e+00	1.602440e+01	ATF3;HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	SHAFFER_IRF4_TARGETS_IN_PLASMA_CELL_VS_MATURE_B_LYMPHOCYTE	1/67	2.478529e-01	3.751968e-01	5.315227e+00	7.414315e+00	ATF3
c2.all.v2024.1.Hs.symbols.gmt	SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12	3/318	1.523814e-01	3.016190e-01	2.641042e+00	4.968773e+00	ANKRD36B;SERPINB3;SERPINB4
c2.all.v2024.1.Hs.symbols.gmt	SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4	2/197	2.032330e-01	3.444123e-01	3.028064e+00	4.824924e+00	SFTPA2;SFTPB
c2.all.v2024.1.Hs.symbols.gmt	SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6	1/458	8.597655e-01	8.774319e-01	7.588849e-01	1.146642e-01	DNAJA1
c2.all.v2024.1.Hs.symbols.gmt	SHEPARD_BMYB_MORPHOLINO_DN	1/202	5.774113e-01	6.396601e-01	1.743408e+00	9.574806e-01	GOLGB1
c2.all.v2024.1.Hs.symbols.gmt	SHEPARD_BMYB_MORPHOLINO_UP	3/212	6.126820e-02	1.980274e-01	3.996674e+00	1.116069e+01	HSP90AA1;RPS27;CFAP298
c2.all.v2024.1.Hs.symbols.gmt	SHEPARD_BMYB_TARGETS	1/76	2.761341e-01	3.945313e-01	4.679711e+00	6.022174e+00	GOLGB1
c2.all.v2024.1.Hs.symbols.gmt	SHEPARD_CRASH_AND_BURN_MUTANT_DN	2/191	1.940028e-01	3.350851e-01	3.124795e+00	5.124296e+00	GOLGB1;AKAP9
c2.all.v2024.1.Hs.symbols.gmt	SHEPARD_CRASH_AND_BURN_MUTANT_UP	3/205	5.653034e-02	1.926187e-01	4.136153e+00	1.188308e+01	ATF3;HSP90AA1;TCIM
c2.all.v2024.1.Hs.symbols.gmt	SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	1/260	6.704877e-01	7.143194e-01	1.350159e+00	5.397261e-01	NAPSA
c2.all.v2024.1.Hs.symbols.gmt	SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	1/168	5.112097e-01	5.814522e-01	2.100551e+00	1.409418e+00	ATF3
c2.all.v2024.1.Hs.symbols.gmt	SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3	2/74	3.937255e-02	1.669332e-01	8.211184e+00	2.656060e+01	LCN2;NUCB2
c2.all.v2024.1.Hs.symbols.gmt	SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4	2/288	3.452264e-01	4.498078e-01	2.057686e+00	2.188462e+00	SYNE2;GPX1
c2.all.v2024.1.Hs.symbols.gmt	SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6	1/55	2.084377e-01	3.470081e-01	6.489084e+00	1.017563e+01	MMP10
c2.all.v2024.1.Hs.symbols.gmt	SHIPP_DLBCL_CURED_VS_FATAL_UP	1/39	1.526892e-01	3.016190e-01	9.192513e+00	1.727596e+01	DNAH12
c2.all.v2024.1.Hs.symbols.gmt	SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP	1/45	1.740360e-01	3.187349e-01	7.950910e+00	1.390211e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	SHI_SPARC_TARGETS_UP	1/24	9.690462e-02	2.420875e-01	1.507032e+01	3.517454e+01	PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	1/67	2.478529e-01	3.751968e-01	5.315227e+00	7.414315e+00	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	SILIGAN_BOUND_BY_EWS_FLT1_FUSION	1/46	1.775417e-01	3.214861e-01	7.775812e+00	1.344088e+01	LTF
c2.all.v2024.1.Hs.symbols.gmt	SIMBULAN_UV_RESPONSE_NORMAL_UP	1/9	3.748893e-02	1.619087e-01	4.169330e+01	1.369087e+02	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SMID_BREAST_CANCER_BASAL_DN	8/699	9.634274e-03	7.084071e-02	3.042122e+00	1.412283e+01	TCN1;PIP;MUC1;DNAAF1;MSMB;NUCB2;AGR2;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	SMID_BREAST_CANCER_BASAL_UP	5/662	1.496965e-01	3.011254e-01	2.004006e+00	3.805899e+00	SERPINB4;LCN2;SERPINB3;CP;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SMID_BREAST_CANCER_ERBB2_UP	3/152	2.684843e-02	1.359365e-01	5.616043e+00	2.031630e+01	PIP;MUC1;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	SMID_BREAST_CANCER_LUMINAL_B_DN	4/587	2.377792e-01	3.674956e-01	1.833473e+00	2.633624e+00	LYZ;CXCL8;LCN2;LTF
c2.all.v2024.1.Hs.symbols.gmt	SMID_BREAST_CANCER_LUMINAL_B_UP	2/169	1.607295e-01	3.064732e-01	3.538766e+00	6.468979e+00	AGR2;MSMB
c2.all.v2024.1.Hs.symbols.gmt	SMID_BREAST_CANCER_NORMAL_LIKE_UP	1/485	8.752618e-01	8.915020e-01	7.157001e-01	9.535431e-02	LYZ
c2.all.v2024.1.Hs.symbols.gmt	SMID_BREAST_CANCER_RELAPSE_IN_BONE_DN	2/324	3.998143e-01	4.927929e-01	1.824974e+00	1.673054e+00	CP;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP	4/99	8.356180e-04	1.210485e-02	1.145651e+01	8.119617e+01	AGR2;MUC1;MSMB;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN	1/82	2.944010e-01	4.075119e-01	4.334011e+00	5.299683e+00	AGR2
c2.all.v2024.1.Hs.symbols.gmt	SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_UP	1/41	1.598648e-01	3.051033e-01	8.737770e+00	1.602006e+01	CP
c2.all.v2024.1.Hs.symbols.gmt	SMID_BREAST_CANCER_RELAPSE_IN_PLEURA_DN	3/32	3.339214e-04	5.617420e-03	2.861656e+01	2.290643e+02	CP;LTF;S100P
c2.all.v2024.1.Hs.symbols.gmt	SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	1/160	4.941985e-01	5.673628e-01	2.206712e+00	1.555330e+00	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SMIRNOV_RESPONSE_TO_IR_2HR_UP	3/53	1.478956e-03	1.773047e-02	1.670070e+01	1.088287e+02	ATF3;PPP1R15A;GADD45A
c2.all.v2024.1.Hs.symbols.gmt	SMIRNOV_RESPONSE_TO_IR_6HR_UP	2/168	1.592432e-01	3.051033e-01	3.560182e+00	6.541202e+00	ATF3;GADD45A
c2.all.v2024.1.Hs.symbols.gmt	SMITH_LIVER_CANCER	1/47	1.810327e-01	3.241495e-01	7.608246e+00	1.300308e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	SMITH_TERT_TARGETS_UP	1/145	4.607088e-01	5.411659e-01	2.437448e+00	1.888995e+00	ATF3
c2.all.v2024.1.Hs.symbols.gmt	SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_DN	2/590	7.173042e-01	7.527327e-01	9.878757e-01	3.282269e-01	DNAJA1;RPL15
c2.all.v2024.1.Hs.symbols.gmt	SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP	5/484	5.486075e-02	1.891562e-01	2.770746e+00	8.043357e+00	RPL39;PABPC3;RPL37A;RPL27A;RPL23
c2.all.v2024.1.Hs.symbols.gmt	SPIRA_SMOKERS_LUNG_CANCER_UP	1/39	1.526892e-01	3.016190e-01	9.192513e+00	1.727596e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	STAEGE_EWING_FAMILY_TUMOR	1/32	1.270940e-01	2.774918e-01	1.123886e+01	2.318384e+01	LINGO1
c2.all.v2024.1.Hs.symbols.gmt	STAMBOLSKY_RESPONSE_TO_VITAMIN_D3_UP	2/84	4.946205e-02	1.805210e-01	7.212613e+00	2.168508e+01	RPS27;CP
c2.all.v2024.1.Hs.symbols.gmt	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	2/524	6.542979e-01	7.002007e-01	1.116074e+00	4.734303e-01	RPL15;LCN2
c2.all.v2024.1.Hs.symbols.gmt	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP	1/206	5.845913e-01	6.445336e-01	1.709161e+00	9.175500e-01	LINGO1
c2.all.v2024.1.Hs.symbols.gmt	STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN	2/63	2.933011e-02	1.409738e-01	9.684685e+00	3.417861e+01	LYZ;LCN2
c2.all.v2024.1.Hs.symbols.gmt	STEARMAN_TUMOR_FIELD_EFFECT_UP	2/39	1.188044e-02	8.179077e-02	1.590018e+01	7.048330e+01	LYZ;LCN2
